,feature_name,feature_weight
312,lip_P1_Cer_Cer(d18:1/14:0)_high,-0.5984867386391323
130,lip_P1_TG [NL]_TG(51:2) [NL-15:0]_high,-0.4468326154152392
315,lip_P1_Cer_Cer(d18:1/16:0)_low,-0.42430212986567434
298,lip_P1_Cer_Cer(d17:1/16:0)_high,-0.3505438113535522
42,lip_P1_TG(SIM)_TG(54:2) [SIM]_high,-0.3456924170030165
188,lip_P1_TG [NL]_TG(54:6) [NL-20:5]_high,-0.314351722001759
369,lip_P1_Cer_Cer(d19:1/24:0)_low,-0.31066682544237817
281,lip_P1_TG(O) [NL]_TG(O-54:4) [NL-17:1]_low,-0.3094185476294885
114,lip_P1_TG [NL]_TG(50:3) [NL-16:1]_high,-0.30760299128510005
236,lip_P1_TG(O)_TG(O-52:2) [SIM]_high,-0.29762899543652926
252,lip_P1_TG(O) [NL]_TG(O-50:2) [NL-16:1]_high,-0.2513263201873689
399,lip_P1_Cer_Cer(m18:1/22:0)_low,-0.23749608014456525
327,lip_P1_Cer_Cer(d18:1/22:0)_low,-0.23298775947648503
99,lip_P1_TG [NL]_TG(50:1) [NL-16:0]_low,-0.21511509696232733
160,lip_P1_TG [NL]_TG(53:2) [NL-17:1]_high,-0.2096880995530208
403,lip_P1_Cer_Cer(m18:1/24:0)_low,-0.20793477663244334
121,lip_P1_TG [NL]_TG(50:4) [NL-14:0]_low,-0.20460378897896608
277,lip_P1_TG(O) [NL]_TG(O-54:3) [NL-17:1]_low,-0.20156055153590624
213,lip_P1_TG [NL]_TG(56:8) [NL-20:4]_low,-0.18309655249638637
128,lip_P1_TG [NL]_TG(51:1) [NL-17:0]_high,-0.16405816731894707
197,lip_P1_TG [NL]_TG(56:6) [NL-20:4]_low,-0.1594295996923685
217,lip_P1_TG [NL]_TG(56:8) [NL-22:6]_low,-0.1554259139794113
317,lip_P1_Cer_Cer(d18:1/17:0)_low,-0.15528421051147837
190,lip_P1_TG [NL]_TG(54:6) [NL-22:6]_high,-0.15330951808448817
184,lip_P1_TG [NL]_TG(54:6) [NL-18:3]_high,-0.15229160961153157
254,lip_P1_TG(O) [NL]_TG(O-50:2) [NL-18:1]_high,-0.15134621335883972
339,lip_P1_Cer_Cer(d18:2/16:0)_low,-0.14931914879227545
106,lip_P1_TG [NL]_TG(50:2) [NL-18:1]_high,-0.1491189701032768
36,lip_P1_TG(SIM)_TG(53:2) [SIM]_high,-0.14865543533734785
9,lip_P1_TG(SIM)_TG(49:1) [SIM]_low,-0.14331005028542917
75,lip_P1_TG [NL]_TG(48:1) [NL-18:1]_low,-0.13968835184522846
93,lip_P1_TG [NL]_TG(49:1) [NL-17:1]_low,-0.13585194898880634
274,lip_P1_TG(O) [NL]_TG(O-54:2) [NL-18:1]_high,-0.13443355314934805
208,lip_P1_TG [NL]_TG(56:7) [NL-22:5](b)_high,-0.13214852208811284
206,lip_P1_TG [NL]_TG(56:7) [NL-22:5](a)_high,-0.13214852208811284
125,lip_P1_TG [NL]_TG(50:4) [NL-20:4]_low,-0.12548138308360582
95,lip_P1_TG [NL]_TG(50:0) [NL-18:0]_low,-0.11537111780317327
226,lip_P1_TG(O)_TG(O-50:1) [SIM]_high,-0.11286349942871443
168,lip_P1_TG [NL]_TG(54:2) [NL-18:0]_high,-0.10887196087395506
135,lip_P1_TG [NL]_TG(51:2) [NL-17:1]_low,-0.1082868659465175
