,feature_name,feature_weight,relative_effects_ratio,
78,lip_Cer_Cer(d18:1/14:0)_high,-0.717,9.10%,
30,lip_DG_DG(18:0_20:4)_high,-0.55,6.99%,
115,lip_Cer_Cer(d18:2/22:0)_low,-0.507,6.43%,
140,lip_Cer_Cer(d20:1/22:0)_high,-0.459,5.83%,
69,lip_Cer_Cer(d17:1/20:0)_low,-0.428,5.44%,
20,lip_DG_DG(18:1_18:2)_high,-0.407,5.16%,
101,lip_Cer_Cer(d18:1/26:0)_low,-0.406,5.16%,
63,lip_Cer_Cer(d16:1/24:1)_low,-0.402,5.10%,
137,lip_Cer_Cer(d19:1/24:1)_low,-0.387,4.91%,
93,lip_Cer_Cer(d18:1/22:0)_low,-0.379,4.81%,
150,lip_Cer_Cer(m18:0/20:0)_high,-0.369,4.69%,
142,lip_Cer_Cer(d20:1/23:0)_high,-0.36,4.57%,
22,lip_DG_DG(18:2_18:2)_high,-0.354,4.49%,
29,lip_DG_DG(18:1_20:3)_low,-0.352,4.46%,
50,lip_Cer_Cer(d16:1/16:0)_high,-0.331,4.20%,
2,lip_DG_DG(16:0_16:0)_high,-0.314,3.98%,
163,lip_Cer_Cer(m18:1/20:0)_low,-0.304,3.86%,
77,lip_Cer_Cer(d17:1/24:1)_low,-0.297,3.76%,
7,lip_DG_DG(14:0_18:2)_low,-0.278,3.53%,
48,lip_DG_DG(18:2_22:6)_high,-0.278,3.53%,
